id,dts,dts_input,verbose,max_psi_leaf_change_per_hour,minimum_psi_leaf_multiplier,conductivity_fraction_type,anet_max,sw_rad_max,root_area_index,canopy_height,stem_flow_type,n_stem_segments,eta_LS,stem_hydraulic_capacitance,k_xylem_sat,huber_value,psi50_xylem,psi88_xylem,sustain_xylem_damage,permanent_xylem_fraction_threshold,leaf_hydraulic_capacitance,leaf_area_index,psi_leaf_50_close,d_50_close,g0,g1,g_bark,soil_depths,jackson_root_beta,soil_water_model_type,k_soil_sats,psi_soil_sats,sand_fracs,clay_fracs,organic_matter_fracs,theta_r,theta_s,camp_b,pore_size_ind,tree_density,sigma_log_likelyhood,soil_profile_index,wcont_sigma_deviation,solver_precision
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.2900000000000016,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.3000000000000016,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.3100000000000016,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.3200000000000016,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.3300000000000016,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.34000000000000163,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.35000000000000164,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.36000000000000165,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.37000000000000166,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.38000000000000167,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.3900000000000017,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.4000000000000017,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.4100000000000017,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.4200000000000017,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.4300000000000017,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.4400000000000017,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.45000000000000173,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.46000000000000174,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.47000000000000175,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.48000000000000176,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.49000000000000177,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.5000000000000018,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.5100000000000018,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.5200000000000018,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.5300000000000018,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.5400000000000018,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.5500000000000018,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.5600000000000018,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.5700000000000018,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.5800000000000018,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.5900000000000019,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.6000000000000019,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.6100000000000019,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.6200000000000019,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.6300000000000019,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.6400000000000019,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.6500000000000019,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.6600000000000019,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.6700000000000019,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.6800000000000019,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.690000000000002,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.700000000000002,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.710000000000002,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.720000000000002,1e-10
-1,1800.0,1800,False,1.0,4.0,Weibull,2.5,1040,4.5,35,Linear,10,1.0,8333.333333333334,277.77777777777777,0.0003333333333333333,-3.5,-5.5,False,0.12,0.5555555555555556,4.8,-2.1,2.0,0.005,1.5,0.005,0.1;0.3;0.4,0.96,VanGenuchten,4.62962963e-08;4.62962963e-08;4.62962963e-08,-0.05;-0.05;-0.05,0.03;0.03;0.03,0.4;0.4;0.4,0.05;0.05;0.05,0.05;0.05;0.05,0.55;0.55;0.55,8.4;8.4;8.4,0.6;0.6;0.6,0.0034,1.0,2,0.730000000000002,1e-10
